video_id,Influencer/Mainstream,neg,neu,pos,compound,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,emo_shannon_norm,emo_gini_simpson
zIbNJCSCEjk,1.0,0.054,0.798,0.148,0.9996,0.11388888888888889,0.19166666666666668,0.022222222222222223,0.12777777777777777,0.16111111111111112,0.06944444444444445,0.10277777777777777,0.2111111111111111,0.939244330538217,0.8475617283950617
nKTwz9mdsFw,1.0,0.037,0.763,0.2,0.9994,0.15217391304347827,0.11956521739130435,0.021739130434782608,0.18478260869565216,0.13043478260869565,0.06521739130434782,0.043478260869565216,0.2826086956521739,0.9006643378895779,0.824905482041588
867AUDQ9DQc,1.0,0.042,0.875,0.083,0.981,0.08064516129032258,0.21774193548387097,0.016129032258064516,0.23387096774193547,0.11290322580645161,0.07258064516129033,0.056451612903225805,0.20967741935483872,0.8982323631024914,0.8259625390218522
xzNkKONrwRU,1.0,0.039,0.952,0.01,-0.5605,0.10256410256410256,0.07692307692307693,0.1794871794871795,0.20512820512820512,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.23076923076923078,0.9374804663397714,0.8415516107823799
R8VBRCs2jTU,2.0,0.078,0.755,0.166,0.9998,0.07640449438202247,0.13258426966292136,0.02696629213483146,0.1842696629213483,0.14157303370786517,0.10112359550561797,0.07191011235955057,0.2651685393258427,0.9248816357773026,0.8361469511425325
oRdLvp6H3CU,2.0,0.007,0.901,0.092,0.9973,0.04504504504504504,0.17117117117117117,0.02702702702702703,0.2072072072072072,0.14414414414414414,0.04504504504504504,0.06306306306306306,0.2972972972972973,0.8748857494770363,0.8098368638909179
KZJm-Bt4rSs,1.0,0.065,0.834,0.101,0.9983,0.11435523114355231,0.15085158150851583,0.043795620437956206,0.170316301703163,0.1192214111922141,0.09002433090024331,0.09245742092457421,0.21897810218978103,0.9593007983274809,0.8544230735077344
q5dy-NtVeF0,1.0,0.05,0.864,0.085,0.9996,0.09502923976608187,0.11403508771929824,0.07748538011695906,0.22076023391812866,0.05555555555555555,0.12426900584795321,0.1067251461988304,0.20614035087719298,0.9555377831212869,0.8508130706884169
F0VaaZdH1x0,3.0,0.07,0.835,0.094,0.9705,0.1728395061728395,0.1728395061728395,0.024691358024691357,0.1728395061728395,0.14814814814814814,0.08641975308641975,0.037037037037037035,0.18518518518518517,0.9283525210201107,0.8446883097088859
wZDE-SWZAuE,1.0,0.118,0.761,0.121,-0.8312,0.08527131782945736,0.17054263565891473,0.04806201550387597,0.21395348837209302,0.07596899224806201,0.07596899224806201,0.05891472868217054,0.2713178294573643,0.9135812055589635,0.8269310738537348
Khou5Qz4A4E,2.0,0.038,0.854,0.108,0.9592,0.041666666666666664,0.25,0.0,0.16666666666666666,0.1875,0.020833333333333332,0.125,0.20833333333333334,0.8458352018040295,0.8133680555555556
XzY_SHNxWXQ,2.0,0.057,0.814,0.128,0.9995,0.08717948717948718,0.1717948717948718,0.05128205128205128,0.16153846153846155,0.16666666666666666,0.05128205128205128,0.09230769230769231,0.21794871794871795,0.9449930885065806,0.8477317554240631
GcaiTZKlCj4,1.0,0.072,0.743,0.185,1.0,0.13547052740434332,0.16442605997931747,0.023784901758014478,0.18200620475698034,0.11995863495346432,0.09824198552223372,0.0889348500517063,0.18717683557394002,0.9511468994141097,0.8539336897343461
Qx3YMdcLTZo,1.0,0.061,0.862,0.076,0.9766,0.10714285714285714,0.16964285714285715,0.0,0.1875,0.11160714285714286,0.07142857142857142,0.044642857142857144,0.3080357142857143,0.8602767143528216,0.8101482780612245
