video_id,Influencer/Mainstream,sentence_index,sentence_text,neg,neu,pos,compound,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,emo_shannon_norm,emo_gini_simpson
zIbNJCSCEjk,1.0,0,"(electronic music) - No, no cool intro, no fancy music.",0.475,0.36,0.165,-0.5106,0.0,0.16666666666666666,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.4863826390090817,0.6111111111111109
zIbNJCSCEjk,1.0,1,I just want to explain inflation in six minutes.,0.0,0.843,0.157,0.0772,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.33333333333333337,0.5
zIbNJCSCEjk,1.0,2,I have a degree in economics.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,3,I spent years trying to understand this.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,4,(ominous music) so let's see if I can boil it down.,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.7739760316291209,0.7999999999999999
zIbNJCSCEjk,1.0,5,What is inflation?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
zIbNJCSCEjk,1.0,6,Why is it rising?,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.33333333333333337,0.5
zIbNJCSCEjk,1.0,7,Why are people worried?,0.423,0.577,0.0,-0.296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0
zIbNJCSCEjk,1.0,8,And what do interest rates have to do with it?,0.0,0.75,0.25,0.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,9,- The Federal Reserve is raising the interest rate.,0.0,0.7,0.3,0.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,10,- [Reporter] Fed is set to raise interest rate.,0.0,0.7,0.3,0.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
zIbNJCSCEjk,1.0,11,- Highest inflation in 40 years.,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.2,0.0,0.6406426982957876,0.72
zIbNJCSCEjk,1.0,12,"- Listen, I know that I make long videos.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
zIbNJCSCEjk,1.0,13,"I'm into nuance, I'm into backstory.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,14,"Well, this isn't that.",0.0,0.588,0.412,0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,15,This is quick.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,16,"(""quick"" echoing) No, really, this is quick.",0.268,0.732,0.0,-0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,17,Let's go.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,18,"- Okay, first up, the simplest definition.",0.0,0.725,0.275,0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,19,Inflation is when there is more money in the economy than stuff to spend it on.,0.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.8405468787811061,0.8163265306122449
zIbNJCSCEjk,1.0,20,"But if you're like me, the simplest definition never does it for you.",0.0,0.787,0.213,0.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,21,So let's try this.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,22,"Imagine a village that has one market where people buy all of their stuff, their food, their clothes, but one day the government shows up because they're worried about the economy of this village.",0.08,0.92,0.0,-0.4215,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.4,0.6406426982957876,0.72
zIbNJCSCEjk,1.0,23,"So they tell the people that if they want to take out a loan, they're gonna make sure that the banks will not charge them a high interest rate.",0.0,0.784,0.216,0.6808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,24,They want to encourage the people to take out loans and spend money.,0.0,0.705,0.295,0.5574,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.7453087835430109,0.7755102040816326
zIbNJCSCEjk,1.0,25,"Oh, and they also drop off a giant pile of cash for everyone in the village.",0.13,0.87,0.0,-0.2732,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.7505430557959409,0.7777777777777778
zIbNJCSCEjk,1.0,26,"And everyone in the village is like, ""Sweet, I'm feeling pretty rich.""",0.0,0.556,0.444,0.7351,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.2,0.9408599206141639,0.8444444444444444
zIbNJCSCEjk,1.0,27,Villagers now are going to their market and they're buying way more stuff.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,28,Many of them have been eyeing the fancy electric bike in the market that before they couldn't justify.,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.5,0.625
zIbNJCSCEjk,1.0,29,But now they totally can because they have all this new money.,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.7739760316291209,0.7999999999999999
zIbNJCSCEjk,1.0,30,"The store owner's like, ""Sweet.",0.0,0.615,0.385,0.3612,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.2,0.6406426982957876,0.72
zIbNJCSCEjk,1.0,31,"this is great for business.""",0.0,0.494,0.506,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,32,But he's running out of bikes.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zIbNJCSCEjk,1.0,33,"In fact, he's running out of everything because now all of these people have extra money and they're buying way more than they used to.",0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.7505430557959409,0.7777777777777778
zIbNJCSCEjk,1.0,34,"The store owner is like, ""I can't keep up with all this demand, I should raise prices.""",0.09,0.772,0.138,0.2204,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.5
zIbNJCSCEjk,1.0,35,And that is inflation.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
zIbNJCSCEjk,1.0,36,But the village is all of us and the market is the entire economy.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
