video_id,topic,prob_topic_0,prob_topic_1,prob_topic_2
zIbNJCSCEjk,1,0.2041220236428651,0.4983687724112263,0.19751460699913526
nKTwz9mdsFw,0,1.0,9.110170241281054e-309,1.4303827062772795e-308
867AUDQ9DQc,0,0.3496691494370924,0.12573773906039748,0.2828380373008206
xzNkKONrwRU,0,0.25761340240485325,0.24937649252121583,0.3339860191776745
KZJm-Bt4rSs,1,8.724778795269916e-309,1.0,9.120012279928106e-309
q5dy-NtVeF0,1,0.20210371818271217,0.27369364858503215,0.19621130396707867
wZDE-SWZAuE,0,0.4789941502954412,0.19033200831700242,0.25955588656944906
GcaiTZKlCj4,1,1.0367375574085277e-308,1.0,1.194379952590958e-308
Qx3YMdcLTZo,1,0.2965072459994425,0.27439865881643427,0.21600867264448176
bgKq6FQB6BM,0,0.24938743977296574,0.2761115238937491,0.3154769504370288
aaVH6m6srdk,2,1.5633782288836517e-308,1.6277175279431757e-308,1.0
3qj_TyK4UQ0,2,1.1426486220928556e-308,1.3784462391959794e-308,1.0
rfp_5g7yrTs,0,0.29580406250451463,0.14719678889303667,0.3152440744007591
I7nPzjvIhiI,1,9.51566553162104e-309,1.0,8.557965648644757e-309
Sg2Xqd8kx_U,0,0.5306601275501409,0.16932697703554694,0.2288949405962049
ZLv636OxgL4,0,0.46724823930947534,0.14382062621516495,0.23372650575518256
DFCslu5jVKo,1,0.36164852252132124,0.22294886643642617,0.20231718850261113
3I81-P_lwvw,1,8.05237495626308e-309,1.0,8.97014563542008e-309
qF4GepJrT9Y,1,7.914562642790216e-309,1.0,8.542464423086565e-309
ZrLBM7E7pc4,0,0.2924890970318244,0.2538191375859413,0.29466767948597783
1O3fHAsdjNg,0,0.44804680762397464,0.1498522343061725,0.2544348939178933
jAvZSGUCWjg,0,1.0,7.61725200942244e-309,9.43239944653308e-309
oNZ-YNHw87k,2,1.1298623902888734e-308,1.441105549573724e-308,1.0
WVAn0DW2asI,0,0.33411340134407574,0.2493789165854296,0.3453897272523873
OwH9dTJTkZk,0,1.0,8.30766059641212e-309,8.702822478869187e-309
L92eadRu6zE,0,0.37122348031987173,0.2567205004324706,0.3009380644295503
nziePav5OMg,1,0.21119101607165272,0.2599568743776737,0.2008607802854967
7xPEuoNdFNY,1,0.21228960459263888,0.26098910609512965,0.19872996004705448
zCRF3PoItD8,1,7.652845463092875e-309,1.0,9.0537963797436e-309
z-JE8JfrEBo,0,0.1999228376158535,0.3075484850176866,0.3663480385905639
Zi4KMCQuQYE,0,0.3621624781433384,0.21152407144155558,0.2672893645188497
ayEFwvMwuns,2,9.8552407167614e-309,1.1958938494619046e-308,1.0
D9GF1DJjdz0,2,1.070729472209922e-308,1.079838365888616e-308,1.0
MpsTYYgMmKY,0,1.0,7.33186683989992e-309,8.96080371077071e-309
XDHCF57Jc1w,0,0.27565788210765785,0.20222611098805057,0.280360932702602
iJUQefeMlJI,1,9.45593409023991e-309,1.0,1.544972999308534e-308
VEZsgAgYDhw,0,0.35684867742064047,0.24585636297696656,0.2382708737061365
xaXCTeDF_aY,0,1.0,8.520544069646326e-309,1.411799308222765e-308
cfe-IPqlReQ,1,7.674184286913544e-309,1.0,7.74196704385448e-309
Bx3njJl-13s,0,1.0,9.98828413289198e-309,8.770521717375916e-309
Lql8bNv_6MU,2,8.77517230924138e-309,8.787411453958653e-309,1.0
MlSkdslNZVc,1,8.68122123457832e-309,1.0,8.863504466092707e-309
LBjgDBd5qNI,2,9.238097638345683e-309,8.836994781645433e-309,1.0
ZY_A0cWA7_0,0,1.0,6.81983577656866e-309,9.225804715178246e-309
fBXlU_G6u8Q,0,1.0,7.20186018542558e-309,1.084892045110521e-308
Vh5FmZRjBpo,1,0.20353788378199875,0.41132469264359506,0.2031560573556283
LSPaFHxu3K4,0,0.1818720031029878,0.38303238900919484,0.30891496911192157
ZHujeMCtZFI,1,7.72513461798069e-309,1.0,8.51978424581806e-309
0jxjT-Pq1X0,0,0.4351590061086543,0.2338483411680323,0.15695228733067426
kH-HqBykG-g,2,9.01019883266672e-309,8.089879435898864e-309,1.0
465sKRS_4M0,2,1.27655821051963e-308,1.0646301923498156e-308,1.0
ldAHIk1ulfs,0,0.36910273247304204,0.1882991516306482,0.2873934871761326
fyWrbUcCPr0,1,7.90939522492392e-309,1.0,8.13069984834527e-309
