topic,rank,word,weight
0,1,inflat,0.07532911502525096
0,2,price,0.047829800685088714
0,3,dollar,0.04708893599223304
0,4,rate,0.03909404254425387
0,5,economi,0.037835519424957526
0,6,countri,0.037678289875628435
0,7,currenc,0.0338406862771848
0,8,increas,0.03294681719729623
0,9,money,0.03266668996794435
0,10,govern,0.03209354947329907
1,1,inflat,0.06741632194158477
1,2,rate,0.05265089725356206
1,3,money,0.05088810944408313
1,4,peopl,0.03510737485212056
1,5,price,0.03509169338064636
1,6,bond,0.03416430824144594
1,7,look,0.0302287731702836
1,8,year,0.03000462806629076
1,9,suppli,0.029617059952693616
1,10,buy,0.02781545484099682
2,1,money,0.1099057239995027
2,2,turkey,0.08330690285849694
2,3,valu,0.056163142441349595
2,4,appl,0.05353749491605354
2,5,can't,0.05325839603301039
2,6,lira,0.049681525517003285
2,7,turkish,0.04641905257958697
2,8,year,0.04581753025045515
2,9,peopl,0.043712364282657803
2,10,hour,0.04318699799614485
