topic,rank,word,weight
0,1,inflat,0.07535174497959031
0,2,price,0.04784470686926252
0,3,dollar,0.047103872399020044
0,4,rate,0.0391062728267744
0,5,economi,0.0378475344890488
0,6,countri,0.03769035204855886
0,7,currenc,0.0338515198954649
0,8,increas,0.03295730375156889
0,9,money,0.0326768376524474
0,10,govern,0.032103731512428166
0,11,gold,0.0315449708281329
0,12,polici,0.02894244324357656
1,1,inflat,0.06741303259851669
1,2,rate,0.052648982463477524
1,3,money,0.05088614687650946
1,4,peopl,0.0351062306418963
1,5,price,0.035090375361130556
1,6,bond,0.03416334459895762
1,7,look,0.030227867495056574
1,8,year,0.030003690678061936
1,9,suppli,0.02961615584972843
1,10,buy,0.02781465311323697
1,11,you'r,0.027499641170120617
1,12,way,0.026076491169863797
2,1,money,0.10990148533918621
2,2,turkey,0.0833052757715323
2,3,valu,0.056161690412742965
2,4,appl,0.05353651785595783
2,5,can't,0.05325717988391105
2,6,lira,0.0496806297726835
2,7,turkish,0.04641823807395754
2,8,year,0.0458160988441589
2,9,peopl,0.04371093962090655
2,10,hour,0.04318618406807658
2,11,size,0.035190880792562176
2,12,dollar,0.03468038825719586
