video_id,topic,topic_0,topic_1,topic_2
R8VBRCs2jTU,1,1.384727978098174e-308,1.0,6.827151675464674e-309
oRdLvp6H3CU,0,1.0,1.0776990995278488e-308,1.094014439411338e-308
Khou5Qz4A4E,0,1.0,1.0707179940211283e-308,6.808180207522275e-309
XzY_SHNxWXQ,0,0.44089592231607616,0.2345372106495492,0.3131176135950614
XuQVNmU7FcY,0,1.0,8.6868782342962e-309,6.989305104514387e-309
_qItQZEJQxQ,0,1.0,1.840109432516095e-308,7.25338225240106e-309
4HmnJ5qstc8,1,1.302462475998391e-308,1.0,9.354449552386323e-309
AkMsMDk_brU,1,1.242980600856733e-308,1.0,8.112416107428954e-309
dgmDcK5wssU,0,1.0,9.4731164156535e-309,7.84676536172091e-309
cfaubxeS5HU,2,7.416700976782403e-309,8.777594561331736e-309,1.0
iMu1eVmuKHw,0,1.0,8.79363945182467e-309,7.07847247359095e-309
BmDRsJYWAHs,1,1.7150660509224973e-308,1.0,6.70391238314616e-309
dxmTJDFsbxM,0,1.0,8.32488181723432e-309,8.061528650978696e-309
Fvn2dxtByGs,2,6.81389089897215e-309,7.201485621042746e-309,1.0
CJUbXY5KqgU,2,9.762573242580964e-309,8.937146647613576e-309,1.0
7x8vIvwYzFg,1,1.0453908629218746e-308,1.0,8.5909091771228e-309
mEBU0QkhYNI,0,1.0,9.450570829496953e-309,7.44357238139083e-309
YD0qsufuf2E,0,1.0,8.82223610506012e-309,6.209439281681293e-309
SNg81S3mBSU,0,1.0,8.46783847732108e-309,7.050072009332134e-309
UZIFvCCSNcY,0,0.43331684462125925,0.3010928488485661,0.2004796961467875
S1YjuFfCqvU,1,1.0737095180881097e-308,1.0,7.93203837256414e-309
LJS3xyTcU7k,0,0.40993145466561826,0.2780158916792395,0.30060340021582904
NBC News,0,1.0,9.20140628745956e-309,7.191238925477064e-309
47WQ8n6KPJU,0,1.0,9.74492616802838e-309,6.42836029305553e-309
dGAFh0dCeDE,2,7.31848974302488e-309,8.069763448674907e-309,1.0
dgmDcK5wssU,0,1.0,1.0179623140105435e-308,8.496233193928885e-309
UbAKuCp8y98,2,7.35138796915955e-309,7.53824674982369e-309,1.0
WGAGNKHVJ-c,0,0.47025947622481556,0.30170643022438076,0.16112036005919755
