video_id,topic
zIbNJCSCEjk,0
nKTwz9mdsFw,2
867AUDQ9DQc,3
xzNkKONrwRU,3
KZJm-Bt4rSs,0
q5dy-NtVeF0,2
wZDE-SWZAuE,2
GcaiTZKlCj4,0
Qx3YMdcLTZo,0
bgKq6FQB6BM,3
aaVH6m6srdk,4
3qj_TyK4UQ0,4
rfp_5g7yrTs,4
I7nPzjvIhiI,0
Sg2Xqd8kx_U,2
ZLv636OxgL4,1
DFCslu5jVKo,0
3I81-P_lwvw,0
qF4GepJrT9Y,0
ZrLBM7E7pc4,3
1O3fHAsdjNg,2
jAvZSGUCWjg,1
oNZ-YNHw87k,4
WVAn0DW2asI,2
OwH9dTJTkZk,1
L92eadRu6zE,2
nziePav5OMg,0
7xPEuoNdFNY,2
zCRF3PoItD8,0
z-JE8JfrEBo,0
Zi4KMCQuQYE,3
ayEFwvMwuns,4
D9GF1DJjdz0,3
MpsTYYgMmKY,1
XDHCF57Jc1w,4
iJUQefeMlJI,0
VEZsgAgYDhw,2
xaXCTeDF_aY,2
cfe-IPqlReQ,0
Bx3njJl-13s,1
Lql8bNv_6MU,2
MlSkdslNZVc,0
LBjgDBd5qNI,2
ZY_A0cWA7_0,1
fBXlU_G6u8Q,1
Vh5FmZRjBpo,0
LSPaFHxu3K4,0
ZHujeMCtZFI,0
0jxjT-Pq1X0,1
kH-HqBykG-g,3
465sKRS_4M0,3
ldAHIk1ulfs,1
fyWrbUcCPr0,0
