topic,rank,word,weight
0,1,act,0.034167153633739636
0,2,tax,0.032324308616683436
0,3,year,0.028037993732037057
0,4,price,0.026687356578861916
0,5,inflation,0.025989132752803908
0,6,that's,0.02562607956804658
0,7,investment,0.025403686482388915
0,8,people,0.02493373623571117
0,9,reduction,0.023117595580458585
0,10,american,0.02286099866061559
0,11,corporation,0.02111012636526319
0,12,energy,0.019416267151075806
1,1,inflation,0.08545953955293459
1,2,price,0.06686132939984561
1,3,index,0.04131904853314353
1,4,that's,0.03726035198693604
1,5,consumer,0.033514708727685125
1,6,month,0.03016552458382671
1,7,one,0.026774739690263248
1,8,percent,0.02676671194071526
1,9,year,0.02662216695608192
1,10,high,0.025351780968818457
1,11,narrator,0.023662317344929462
1,12,economy,0.023653674901165794
2,1,interest,0.1323328565420166
2,2,rate,0.13006601510395402
2,3,bank,0.1086844230662165
2,4,central,0.0957344347296488
2,5,mean,0.057945820275120206
2,6,inflation,0.05615344819130243
2,7,less,0.0485823781848494
2,8,raise,0.04091147636618897
2,9,reserve,0.03706332197701252
2,10,lower,0.036783520319492384
2,11,commercial,0.035798773509677605
2,12,money,0.03566746444026893
3,1,percent,0.10280890876767135
3,2,rising,0.09291927408411478
3,3,inflation,0.08221314766852325
3,4,price,0.0820768330426632
3,5,cost,0.07346789922445006
3,6,gas,0.056333779817586346
3,7,natural,0.05539318197625583
3,8,year,0.05137148735715026
3,9,good,0.042797299495466394
3,10,shortage,0.042685625130573786
3,11,also,0.04149746633470641
3,12,economy,0.04129634990995612
4,1,inflation,0.0797936616410412
4,2,bitcoin,0.06500017122015274
4,3,might,0.06314450684570433
4,4,money,0.051079183027804044
4,5,go,0.046730024313968714
4,6,there's,0.04294471519086743
4,7,people,0.04084399113101007
4,8,guitar,0.0400683845734252
4,9,demand,0.03732239242915162
4,10,also,0.03624859761993814
4,11,could,0.03530724506930811
4,12,get,0.03382978195586838
5,1,bond,0.11455444539595774
5,2,yield,0.10487118486595957
5,3,rate,0.10128032588002149
5,4,fed,0.06799206728719794
5,5,federal,0.06731675926287062
5,6,economy,0.0579845115323365
5,7,interest,0.0566177659920879
5,8,presenter,0.04559253715915926
5,9,demand,0.04487783950858042
5,10,reserve,0.042003296645184506
5,11,fund,0.04184594597719987
5,12,narrator,0.038830260363363775
6,1,rate,0.0639352811282775
6,2,bank,0.057418008838174606
6,3,inflation,0.054449363373907204
6,4,price,0.047111205151919903
6,5,interest,0.04470301516588409
6,6,england,0.03653699611320949
6,7,economy,0.03646715926474814
6,8,switzerland,0.03583941296256215
6,9,swiss,0.032834418738361806
6,10,high,0.032245248843181334
6,11,budget,0.026407988498730002
6,12,country,0.026307436118344518
