topic,rank,word,weight
0,1,inflation,21.169120709024796
0,2,poorer,6.167337000278406
0,3,borrowing,6.166853523088921
0,4,cpi,5.166797149676728
0,5,day,4.167980358104557
0,6,cost,4.167501133571082
0,7,economy,4.167250484208439
0,8,money,4.16722497532902
0,9,way,4.167089367531578
0,10,living,4.166917039190001
0,11,got,4.166873959658402
0,12,makes,4.166782010958642
0,13,year,3.167086977688722
0,14,country,3.166907952098389
0,15,quickly,3.166820786540284
1,1,make sure,0.16667343427016978
1,2,population,0.16667208778587356
1,3,work,0.16667149798538777
1,4,caused,0.1666714446650522
1,5,impact,0.16667132506352345
1,6,ask,0.16667100422321254
1,7,away,0.16667057166918264
1,8,world,0.16667056392102936
1,9,ways,0.16667044902748362
1,10,future,0.16667043247940466
1,11,come,0.16667025200913194
1,12,day,0.1666702222228688
1,13,wheat,0.16667021232624615
1,14,sure,0.16667021100685214
1,15,happened,0.16667011575967497
2,1,inflation,8.166434900242457
2,2,increase,3.166999217223823
2,3,average,3.1669501363499273
2,4,recession,3.1668469397235066
2,5,economy,3.1667789852137913
2,6,future,2.1670846109205777
2,7,purchasing,2.1670750393655145
2,8,everybody,2.167028470338918
2,9,country,2.1670203105108468
2,10,power,2.166901013608745
2,11,example,2.1668881883235893
2,12,decrease,2.1668381717443874
2,13,increase prices,2.1667889884288454
2,14,money,2.166694869743074
2,15,prices,2.1666237645077464
3,1,money,38.71486447380687
3,2,inflation,20.548569801789114
3,3,federal reserve,16.166227289332273
3,4,federal,16.166227289332273
3,5,reserve,15.833035685631101
3,6,government,15.167573241271652
3,7,supply,14.166790965165694
3,8,economy,13.078791671106458
3,9,economic,12.590225584990472
3,10,central,12.166847216843818
3,11,bank,10.77406665396201
3,12,prices,10.16689602237489
3,13,central bank,10.166816735503453
3,14,percent,8.96019823870637
3,15,pay,8.04052660338678
4,1,inflation,52.62198807350739
4,2,higher,10.89178660759654
4,3,economic,10.626818543597306
4,4,supply,10.165205519137333
4,5,prices,10.005323132512016
4,6,high,9.979047110321847
4,7,rates,9.344041205847564
4,8,banks,9.16645944539372
4,9,economy,8.988441068839077
4,10,money,8.658736348355847
4,11,central,8.222745891477587
4,12,world,7.712311915279062
4,13,price,7.4192451551375145
4,14,high inflation,7.2373783239729
4,15,look,6.460278576146306
5,1,inflation,50.32721806970606
5,2,prices,23.32802345525212
5,3,percent,17.913198434015907
5,4,increase,17.726728266419627
5,5,goods,13.164246057951644
5,6,real,12.175748014034758
5,7,average,12.16381691043334
5,8,increasing,12.150058856191485
5,9,rates,11.989229669625631
5,10,bank,11.142882061174634
5,11,people,10.51336605339224
5,12,policy,10.096171489559985
5,13,price,9.914511353804324
5,14,rate,9.327322652360943
5,15,means,9.16287861976353
