Linguistic Feature,median_cat1,median_cat2,Difference_pct_raw,MannWhitney_U,MannWhitney_p,MannWhitney_sig,Welch_t,Welch_p,Welch_d,Welch_sig,n_cat1,n_cat2
Analytic,52.43,62.235,-15.754800353498835,575.0,0.09824522200041808,,-1.7950034985105017,0.07711459095647635,-0.4032973473838282,,53,28
Clout,53.53,57.885000000000005,-7.523538049581072,736.0,0.9564426981624674,,0.039511585690271744,0.9685918949234742,0.008752929851479657,,53,28
Authentic,51.63,47.21,9.362423215420465,725.0,0.869847240175876,,-0.5285982210215153,0.5990705145562589,-0.12202812845328419,,53,28
Tone,34.82,33.129999999999995,5.10111681255661,658.0,0.4832582957691893,,-0.3074395191912318,0.7594573900404009,-0.06948391849350533,,52,28
WPS,197.0,176.0,11.931818181818182,770.0,0.7847835507404554,,1.256024684222427,0.21280902531669402,0.26662190845458156,,53,28
BigWords,20.18,20.32,-0.6889763779527587,687.0,0.5883608357961968,,0.40256782070465974,0.6884398948589656,0.08234336559464825,,53,28
Dic,89.47,88.82,0.7318171582976871,826.0,0.4069925062012021,,0.8713576189285673,0.3867548418616382,0.19730595080260735,,53,28
Linguistic,71.72,68.765,4.29724423762088,872.5,0.19671273561089597,,1.354545784813809,0.17988621358491821,0.30158870988304315,,53,28
function,56.12,52.515,6.864705322288864,958.0,0.032348809802947145,*,0.9528003616958257,0.34362090398405953,0.20456358915102563,,53,28
pronoun,11.93,10.305,15.76904415332363,885.5,0.1555869345824971,,1.644881817054785,0.10454094694962156,0.36804211298487516,,53,28
ppron,5.02,4.585,9.487459105779708,892.0,0.1376423033413947,,1.9256806858939086,0.05785891044579,0.41859766363137435,,53,28
i,0.54,0.42,28.571428571428587,818.0,0.4494261946792788,,1.3923880250208958,0.16771258164917643,0.29480515512681266,,53,28
we,1.09,1.02,6.8627450980392215,718.5,0.8187608075117518,,-0.09267727951470511,0.9264625177082747,-0.021242669642800475,,53,28
you,1.5,1.2850000000000001,16.731517509727613,887.5,0.14979219997562485,,2.289776088138411,0.02470416523569836,0.4868522352787628,*,53,28
shehe,0.0,0.0,0.0,800.0,0.5097942785488394,,0.9245949083460969,0.3581169440141474,0.20186603306309475,,53,28
they,0.81,0.9,-9.999999999999996,672.0,0.4891656180779135,,-0.20727352902601265,0.8363607569888458,-0.04545469246641195,,53,28
ipron,6.8,5.994999999999999,13.427856547122612,806.0,0.5283055998283765,,0.6000163554106777,0.5502790903657155,0.1307479470895338,,53,28
det,15.65,14.41,8.605135322692576,958.5,0.03194778559236326,*,1.509726102393962,0.13510704803745419,0.31882942847358475,,53,28
article,7.21,7.285,-1.0295126973232693,677.0,0.5218217631829319,,-0.5444641856271831,0.5877279076985362,-0.11898276668099685,,53,28
number,2.38,1.74,36.78160919540229,869.5,0.20720474369483455,,1.887849225265402,0.06288313158106075,0.41223360137200343,,53,28
prep,13.76,14.455,-4.808024904877207,633.0,0.2812691213232118,,-1.3449263721323348,0.18282800335790803,-0.29713710753627837,,53,28
auxverb,9.49,9.0,5.444444444444447,766.0,0.815462082682469,,-0.2705084425811653,0.7874966815762189,-0.05878148826432264,,53,28
adverb,5.84,5.67,2.9982363315696636,780.0,0.7095915390133933,,0.545879890507517,0.5874212979342656,0.12822297847878988,,53,28
