Linguistic Feature,Difference_pct,p_value,Significance,median_cat1,median_cat2,U_stat,n_cat1,n_cat2
Analytic,-15.75%,0.09824522200041808,,52.43,62.235,575.0,53,28
Clout,-7.52%,0.9564426981624674,,53.53,57.885000000000005,736.0,53,28
Authentic,+9.36%,0.869847240175876,,51.63,47.21,725.0,53,28
Tone,+5.10%,0.4832582957691893,,34.82,33.129999999999995,658.0,52,28
WPS,+11.93%,0.7847835507404554,,197.0,176.0,770.0,53,28
BigWords,-0.69%,0.5883608357961968,,20.18,20.32,687.0,53,28
Dic,+0.73%,0.4069925062012021,,89.47,88.82,826.0,53,28
Linguistic,+4.30%,0.19671273561089597,,71.72,68.765,872.5,53,28
function,+6.86%,0.032348809802947145,*,56.12,52.515,958.0,53,28
pronoun,+15.77%,0.1555869345824971,,11.93,10.305,885.5,53,28
ppron,+9.49%,0.1376423033413947,,5.02,4.585,892.0,53,28
i,+28.57%,0.4494261946792788,,0.54,0.42,818.0,53,28
we,+6.86%,0.8187608075117518,,1.09,1.02,718.5,53,28
you,+16.73%,0.14979219997562485,,1.5,1.2850000000000001,887.5,53,28
shehe,+0.00%,0.5097942785488394,,0.0,0.0,800.0,53,28
they,-10.00%,0.4891656180779135,,0.81,0.9,672.0,53,28
ipron,+13.43%,0.5283055998283765,,6.8,5.994999999999999,806.0,53,28
det,+8.61%,0.03194778559236326,*,15.65,14.41,958.5,53,28
article,-1.03%,0.5218217631829319,,7.21,7.285,677.0,53,28
number,+36.78%,0.20720474369483455,,2.38,1.74,869.5,53,28
prep,-4.81%,0.2812691213232118,,13.76,14.455,633.0,53,28
auxverb,+5.44%,0.815462082682469,,9.49,9.0,766.0,53,28
adverb,+3.00%,0.7095915390133933,,5.84,5.67,780.0,53,28
conj,+5.12%,0.6985285951857059,,7.19,6.84,781.5,53,28
negate,+62.30%,0.010302503119856657,*,0.99,0.61,1000.5,53,28
verb,+0.09%,0.9920765936370993,,16.29,16.275,740.5,53,28
adj,-6.25%,0.401389351230374,,6.68,7.125,657.0,53,28
quantity,-10.67%,0.33293204093485307,,7.91,8.855,644.0,53,28
Drives,-8.59%,0.14847745886891975,,3.62,3.96,596.0,53,28
