Metric,cat1_col,cat1_mean,cat1_sd,cat1_n,cat2_col,cat2_mean,cat2_sd,cat2_n
Narrativity_overall,Narrativity_Overall,9.766808510638299,19.54867704924244,47.0,Narrativity_Overall,16.990384615384617,26.607385663498654,26.0
Narrativity_staging,Narrativity_Staging,30.83468085106382,34.633518123536355,47.0,Narrativity_Staging,37.52192307692307,36.99652729857015,26.0
Narrativity_PlotProg,Narrativity_PlotProg,-1.1204255319148937,32.58331434535212,47.0,Narrativity_PlotProg,5.610769230769231,30.34481635114333,26.0
Narrativity_CogTension,Narrativity_CogTension,-0.41255319148936276,39.57892848847759,47.0,Narrativity_CogTension,7.838846153846154,42.424129391366236,26.0
Staging_segment1,Staging_1,50.301702127659574,,,Staging_1,58.51038461538462,,
Staging_segment2,Staging_2,53.06829787234042,,,Staging_2,47.46730769230768,,
Staging_segment3,Staging_3,52.05914893617021,,,Staging_3,41.35730769230769,,
Staging_segment4,Staging_4,47.96170212765958,,,Staging_4,48.035769230769226,,
Staging_segment5,Staging_5,50.60680851063829,,,Staging_5,41.231923076923074,,
PlotProg_segment1,PlotProg_1,53.06829787234044,,,PlotProg_1,44.54153846153846,,
PlotProg_segment2,PlotProg_2,47.955531914893626,,,PlotProg_2,42.77307692307692,,
PlotProg_segment3,PlotProg_3,45.561914893617015,,,PlotProg_3,55.6473076923077,,
PlotProg_segment4,PlotProg_4,43.99127659574469,,,PlotProg_4,45.04153846153846,,
PlotProg_segment5,PlotProg_5,49.78319148936171,,,PlotProg_5,46.92076923076923,,
CogTension_segment1,CogTension_1,54.53255319148936,,,CogTension_1,42.0923076923077,,
CogTension_segment2,CogTension_2,37.34,,,CogTension_2,47.552692307692304,,
CogTension_segment3,CogTension_3,43.11234042553191,,,CogTension_3,49.20961538461539,,
CogTension_segment4,CogTension_4,59.06744680851064,,,CogTension_4,45.31038461538461,,
CogTension_segment5,CogTension_5,42.22127659574468,,,CogTension_5,47.968846153846144,,
