Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
1,2394,56.98,65.42,56.39,25.06,52.04,20.38,89.35,71.14,49.92,11.32,5.18,0.25,0.5,1.84,0,2.42,6.14,14.12,6.93,1.13,12.36,9.61,4.93,6.93,0.75,17.96,9.19,8.98,3.3,0.58,1.29,1.5,21.39,0.84,12.28,2.38,2.76,2.09,2.42,0.33,3.13,0.08,2.8,1.55,1.17,1,0.42,0.5,0,0,0.25,0,7.6,1.5,0.08,0.08,0,0.25,0.42,6.1,0.17,0,0,0,0.25,0.08,0.17,0,11.28,0.13,0.75,4.59,10.15,0,0.58,0.42,0.17,0,0.08,0,0,0.08,0,0.58,0.17,1.59,0.33,0.42,0,0.63,0.67,0.08,8.19,12.53,0.08,3.3,8.69,0.5,0.13,0.33,3.34,1.04,7.02,3.43,0.17,0,0.17,0,0
1,859,83.92,58.09,39.45,35.03,18.67,27.12,83.82,65.89,50.06,8.73,3.38,0.7,0.81,0.93,0,0.7,5.36,17.46,9.43,1.4,14.78,7.68,4.31,6.75,0.23,14.44,5.7,8.73,1.98,1.05,0.47,0.47,22.24,0.81,11.06,2.68,3.26,0.93,1.51,0.35,2.91,0,1.51,1.28,0.23,0.23,0.23,0,0,0,0,0,6.75,1.28,0.23,0,0,0.12,0.12,5.12,0.23,0,0,0,1.16,0.81,0.35,0,9.31,0.47,0.81,3.26,6.05,0,1.4,0.35,0,0,0,0,0,1.05,0,0.58,0,0.58,0,0,0,0.12,0.35,0,5.7,9.43,1.05,1.51,5.12,1.16,0.47,0.47,4.66,1.86,7.22,1.75,0.47,0.35,0,0.12,0
1,222,66.85,48.08,42.77,32.75,222,21.17,85.14,64.41,46.85,7.21,2.25,0,0,1.35,0,0.9,4.95,13.06,7.66,3.15,11.26,6.76,7.21,8.11,0.45,13.51,3.6,12.61,3.15,0.45,0,2.7,18.02,0.45,8.56,0.9,0.9,2.25,2.25,0.45,2.7,0,2.7,1.8,0.9,0.45,0.45,0,0,0,0,0,4.5,1.35,0.9,0,0,0,0.45,3.15,0,0,0,0,1.35,1.35,0,0,14.41,0,0,5.41,11.26,0,0.45,0,0,0,0,0,0,0.45,0,0.9,0,1.35,0.9,0.45,0,0,0,0,5.86,10.81,0.9,4.05,6.31,0,0,0,5.41,1.35,7.21,2.7,0.45,0.45,0,0,0
1,2196,61.24,81.24,38,32.2,28.89,21.31,90.35,67.71,50.27,12.25,6.92,0.41,1.41,2,0.27,2.46,5.33,13.3,6.51,2.55,13.75,8.93,4.46,5.97,1.46,16.12,6.97,8.65,5.51,1.87,0.96,2.69,21.63,0.59,10.15,2.46,2.55,1.28,1.41,0.5,3.05,0,3.32,2.05,1.18,0.73,0.27,0.36,0.09,0,0,0,12.8,3.1,0.32,0.09,0,0.55,1.37,9.06,0.09,0,0,0.27,1.37,1.09,0.18,0.09,12.75,0.09,0.23,7.24,8.11,0,1.87,0.27,0.18,0,0,0,0,1.41,0,0.27,0.36,0.87,0.55,0.09,0.18,1.5,0.27,0.09,8.15,9.7,0.32,2.55,6.1,0.64,0,0.46,3.42,3.23,7.92,1.5,0.32,0,0.09,0.23,0
1,1026,44.4,63.7,38.23,26.62,1026,16.96,91.52,74.85,58.19,10.23,4.39,0.1,0.29,2.34,0.19,1.27,5.85,13.26,5.95,0.97,14.72,10.53,8.58,9.16,0.58,18.81,8.58,7.7,4.48,0.58,1.75,2.63,23,0.49,15.3,1.85,2.53,3.02,3.61,1.17,3.8,0,2.73,1.56,1.07,0.68,0.19,0.39,0,0,0,0,7.8,1.75,0.1,0,0,0.19,1.07,5.85,0.19,0,0.29,0,0.68,0.49,0,0.19,9.36,0.19,0.58,2.83,7.21,0,0.97,0.29,0.19,0,0,0,0,0.29,0,1.17,0.39,1.17,0.29,0.1,0,0.19,0.39,0.58,8.19,9.36,0,2.53,7.31,0.1,0.29,0.1,4.09,2.63,4.78,2.83,0.88,0,0.1,0.78,0
1,172,56.1,30.35,36.92,1.9,172,19.77,91.86,69.77,50,6.98,1.74,0,0.58,0,0,1.16,5.23,11.63,6.4,2.91,11.63,8.14,7.56,9.3,0.58,12.79,7.56,17.44,4.65,1.16,1.16,2.33,25,0,17.44,1.74,3.49,2.91,4.07,1.74,4.65,0,6.4,1.74,4.65,0.58,0,0.58,0,0,0,0,5.23,2.33,0.58,0,0,0,0.58,2.91,0,0,0,0,1.16,0.58,0.58,0,11.63,0,0,2.91,10.47,0,0.58,0,0,0,0,0,0,0,0,0,0,0.58,0.58,0,0,0,0.58,0,7.56,8.72,0,2.91,5.23,0,0,0.58,4.65,0.58,7.56,1.16,0,0,0,0,0
1,155,69.92,32.79,14.37,38.96,155,28.39,85.81,63.87,45.16,7.1,1.29,0,1.29,0,0,0,5.81,13.55,8.39,0.65,9.68,10.97,3.23,6.45,0,16.77,7.74,7.74,7.74,1.94,3.87,3.87,24.52,0,17.42,1.29,6.45,5.81,1.29,0.65,3.87,0,2.58,1.94,0.65,0,0,0,0,0,0,0,5.16,3.87,0.65,0,0.65,0,0,1.29,0,0,0,0,0.65,0.65,0,0,13.55,0,0,3.23,11.61,0,0.65,0,0,0,0,0,0,0.65,0,0.65,0,1.94,0.65,0,0,0.65,0,0,4.52,10.32,0,2.58,7.74,0,0,0,2.58,1.94,7.74,1.94,0,0,0,0,0
1,967,85.71,50.53,54.33,50.37,18.96,18.1,89.35,71.25,50.88,7.55,3,0,0.41,0.93,0.1,1.55,4.55,15.1,8.79,1.45,16.44,7.34,5.07,7.34,0.41,14.68,8.38,9.31,4.03,0.52,1.24,2.38,19.44,0.31,10.34,1.96,3,1.65,2.17,0.1,3.31,0,2.38,2.17,0.21,0,0,0,0,0,0,0,6.31,2.07,0.41,0,0,0,0.31,4.14,0,0,0,0.1,1.55,1.45,0,0.1,9.93,0.52,0.62,3.62,7.24,0,1.65,0.1,0.1,0,0,0,0,1.55,0,0.52,0.21,1.65,0,0.1,0,0.52,0.31,0.1,5.07,13.03,0.93,2.9,8.69,0.62,0.21,0.21,3.62,1.96,6.51,2.38,0.41,0.41,0,0,0
1,787,39.11,58.96,75.84,28.73,787,18.68,90.09,75.22,58.07,13.98,5.34,1.27,1.02,1.78,0,1.27,8.64,13.21,6.99,0.51,14.61,11.44,8.39,7.37,0.64,19.44,7.62,6.48,2.92,1.02,0.51,1.4,24.78,0.38,13.34,3.05,3.18,1.65,3.43,1.27,2.54,0.25,3.05,1.78,1.14,1.4,0.64,0.64,0.38,0,0,0,6.86,2.03,0.25,0.13,0.13,0,0.89,4.83,0,0,0,0,0.64,0.51,0,0.13,5.84,0.13,0,1.52,4.96,0.13,0.13,0.13,0.13,0,0,0,0,0,0,1.27,0.13,1.02,0,0.51,0,0,0.38,0,8.01,12.58,0.38,2.8,9.02,0.38,0.13,0.51,4.96,0.38,9.15,4.7,0.89,0,0,0.89,0
1,4123,70.88,56.26,37.22,33.44,14.42,22.65,86.03,66.75,54.67,11.5,4.68,0.92,2.09,0.68,0.05,0.8,6.82,16.03,9.8,1.79,14.43,10.53,5.29,5.07,1.16,16.32,6.45,4.49,6.4,2.69,1.84,2.3,21.05,0.75,9.97,1.67,1.84,1.46,1.7,0.99,2.79,0,2.89,1.92,0.97,0.39,0.24,0.15,0,0.02,0.02,0,6.72,1.79,0.44,0.07,0.34,0.02,0.63,4.83,0.12,0.02,0.02,0.1,3.71,2.89,0.44,0.39,6.52,0.12,0.07,4.17,2.96,0.02,0.39,0.07,0.02,0.05,0,0,0,0,0.12,0.95,0.19,0.56,0.12,0.12,0.07,0.34,0.39,0.46,5.31,10.04,0.22,1.07,8.1,0.7,0.07,0.22,3.27,2.52,6.96,2.45,0.17,0.05,0.12,0,0
