Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1,2394,26.16,65.62,-6.89,19.76,1,3,5,4,2,1,100,29.41,76.47,0,89.4,75.76,0,100,72.73,15.96,0,83.02,60.88,33.21,100
2,859,1.91,68.19,-8.39,-54.07,2,5,1,5,2,2,81.49,100,53.73,44.48,0,17.34,0,34.67,17.34,100,100,0,0,0,0.94
3,222,41.12,87.66,8.93,26.77,1,3,3,3,5,4,100,38.32,0,21.03,84.11,68.33,43.89,100,75,0,31.85,31.85,100,0,0
4,2196,36.48,80.1,24.94,4.4,1,2,2,2,4,3,100,0,35.75,47.67,47.67,12.34,100,28.57,0,0,13.8,100,0,28.57,71.43
5,1026,-11.3,47.59,-43.2,-38.28,4,1,4,3,3,3,70.02,50,0,100,50,100,73.39,0,7.34,95.4,98.83,60,0,100,100
6,172,11.1,46.01,24.35,-37.06,4,3,1,2,4,4,63.85,0,34.27,100,34.27,8.57,30.16,100,0,22.22,100,32.67,34.65,0,0
7,155,-5.56,-25.71,-34.82,43.85,4,1,4,1,3,1,0,0,50,100,50,100,55.56,0,55.56,11.11,0,0,50,100,50
8,967,17.97,17.02,20.84,16.04,3,2,5,5,3,1,38.38,18.49,100,60,0,16.68,100,0,48.49,22.04,0,74.42,37.66,50.13,100
9,787,-4.37,-20.56,-16.65,24.1,3,2,4,1,3,1,0,0,100,50.75,34.34,76.46,100,0,40.61,27.07,0,9.91,10.28,100,50.16
10,4123,68.51,78.89,72.32,54.33,1,5,3,2,1,2,100,0,45.71,23.52,37.82,0,73.28,91.6,67.9,100,7.14,0,100,93.16,21.65
11,295,47.34,58.37,68,15.65,1,4,3,2,1,2,100,0,100,40,80,0,42.86,71.43,100,28.57,40,0,100,20,0
12,89,,,,
13,668,73.73,79.15,43.76,98.28,5,3,3,3,1,1,96.24,19.25,0,3.04,100,0,50,100,13.61,13.61,0,63.64,100,82.64,46
14,55,,,,
15,1252,22.83,55.92,-7.31,19.88,5,5,2,3,2,3,69.52,69.52,0,75,100,35.73,0,61.36,42.05,100,24.17,100,0,0,0
16,899,39.55,48.59,21.2,48.88,2,2,3,3,5,5,83.33,100,0,83.33,37.15,62.77,100,78.73,57.46,0,66.35,66.35,100,66.35,0
17,1436,-4.7,37.79,-16.64,-35.26,2,5,5,4,3,1,48,100,8.33,0,0,26.58,12.5,0,47.92,100,0,0.26,35.47,12,100
18,174,-19.88,-25.16,-23.66,-10.83,2,1,1,1,2,5,0,100,50,33.33,36.27,100,0,50,100,38.73,100,60,20,60,0
19,703,-7.76,7.35,27.78,-58.4,4,5,5,3,1,4,29.25,58.5,0,100,1.81,0,35.2,79.2,20.24,100,86.44,49.2,36.79,0,100
20,2773,7.48,40.12,-14,-3.69,2,3,3,3,2,4,54.55,100,0,20.35,2.13,73.68,0,100,38.29,38.29,55.39,55.39,100,0,55.86
21,257,3.55,38.96,17.11,-45.42,5,4,5,4,3,4,59.86,23.08,87.5,0,100,29.33,72.24,0,100,25,97.44,64.74,66.67,0,100
22,1223,26.33,91.2,-3.76,-8.46,1,5,4,5,2,3,100,53.72,53.72,27.88,0,27.34,0,82.02,3.92,100,59.42,99.03,0,100,100
23,356,-27.64,-11.55,-10.29,-61.08,2,3,5,5,2,3,10.91,100,28.57,42.86,0,59.2,0,100,37.5,100,98.33,60,0,40,100
24,697,-8.26,7.35,-30.61,-1.52,2,1,3,5,2,5,31.7,100,57.33,45.86,0,100,0,78.8,24.57,16.82,98.57,32.38,100,33.33,0
25,654,26.32,15.63,-19.97,83.29,4,5,3,5,2,1,42.25,63.91,49.47,100,0,59.94,0,59.94,59.94,100,0,83.33,100,50,34.23
26,787,-4.37,-20.56,-16.65,24.1,3,2,4,1,3,1,0,0,100,50.75,34.34,76.46,100,0,40.61,27.07,0,9.91,10.28,100,50.16
27,832,41.94,39.21,42.47,44.15,5,4,2,4,1,5,41.92,30.87,44.44,0,100,0,23.02,30.51,100,24.72,16.67,100,16.77,41.92,0
28,601,43.27,68.39,27.02,34.4,1,2,3,3,4,1,100,79.08,0,79.08,52.72,31.57,100,100,0,13.33,0,0.27,100,66.76,66.76
